Type;Year;URL;Contact;Address;Phone;Fax;Contact2
Media;2013;http://www.lawrencebusinessmagazine.com;Lawrence Business Magazine;Meredithe McCormick;740 New Hampshire St., Ste. 110,Lawrence, KS  66044;(785) 856-1990;Fax (785) 856-1995;Meredithe McCormick
Media;2013;;;P.O. Box 1965,Lawrence, KS  66044;(785) 379-6337
Media;2013;http://www.lawrencehits.com;LawrenceHits.com;Mr. Jay Wachs,Mr. Travis Daniel Smith;625 N. Wrigley Ln.,Lawrence, KS  66044;(785) 764-8380;Mr. Jay Wachs,Mr. Travis Daniel Smith
Wedding & reunion facility;2009;http://www.eldridgehotel.com;The Eldridge Extended;Mr. David Longhurst;201 W. 8th St.,Lawrence, KS  66044;(785) 749-5011;Fax (785) 749-4512;Mr. David Longhurst
Wedding & reunion facility;2004;http://www.eldridgehotel.com;The Eldridge;Ms. Nancy Longhurst,Ms. Courtney Longino,Mr. Pam Altic Van Roekel,Mr. David Longhurst;701 Massachusetts St.,Lawrence, KS  66044;(785) 749-5011;Fax (785) 749-4512;Ms. Nancy Longhurst,Ms. Courtney Longino,Mr. Pam Altic Van Roekel,Mr. David Longhurst
Wedding & reunion facility;1965;http://www.holidayinn.com/lawrenceks;Holiday Inn Lawrence Hotel & Convention Center;Mr. Stephen Horton,Mr. Ivan Simac,Ms. Kirstin Blosser;200 McDonald Dr.,Lawrence, KS  66044;(785) 841-7077;Fax (785) 841-2799;Mr. Stephen Horton,Mr. Ivan Simac,Ms. Kirstin Blosser
Wedding & reunion facility;2001;http://www.macelis.com;Maceli's;Mr. Stephen Maceli,Ms. Lara Komosa;1031 New Hampshire St.,Lawrence, KS  66044;(785) 331-2096;Fax (785) 856-0320;Mr. Stephen Maceli,Ms. Lara Komosa
Wedding & reunion facility;2009;http://theoread.com;The Oread;Ms. Nancy Longhurst,Mr. Pam Altic Van Roekel,Ms. Heidi Windholz,Ms. Katie Young;1200 Oread Ave.,Lawrence, KS  66044;(785) 830-3933;Ms. Nancy Longhurst,Mr. Pam Altic Van Roekel,Ms. Heidi Windholz,Ms. Katie Young
Moving & storage;1985;http://www.pmsmoving.com;Professional Moving & Storage, Inc.;Mr. Bobby Jones;3620 Thomas Ct.,Lawrence, KS  66046;(785) 842-1115;Fax (785) 842-0296;Mr. Bobby Jones
Moving & storage;2009;http://www.starvingartistsmoving.com;Starving Artists Moving;Mr. Craig Foos;1942 Louisiana St.,Lawrence, KS  66046;(785) 749-5073;Fax (785) 856-5073;Mr. Craig Foos
Auto loans;1984;https://www.truitycu.org/;Truity Credit Union;Mr. Geoff Strole,Ms. Pat Sullivan,Ms. Ginger Wehner,Mr. Gabe Gutierrez;3400 W. 6th St.,Lawrence, KS  66049;(785) 749-2224;Fax (785) 832-8976;Mr. Geoff Strole,Ms. Pat Sullivan,Ms. Ginger Wehner,Mr. Gabe Gutierrez
Auto loans;2009;http://www.truitycu.org;Truity Credit Union;Jordan Schuette;1300 W. 23rd St.,Lawrence, KS  66046;(785) 749-2224;Fax (785) 749-6824;Jordan Schuette
Auto loans;2006;https://www.truitycu.org/?utm_source=lawrencechamber;Truity Credit Union;Mr. Tim Mock;2221 W. 31st St.,Lawrence, KS  66047;(785) 749-2224;Fax (785) 749-6856;Mr. Tim Mock
Contractors Dry wall commercial construction;2009;http://www.hitechinteriors.com;Hi-Tech Interiors, Inc.;Tracey Simons,Mr. Martin Baumgard;616 Arizona St.,Lawrence, KS  66049;(785) 842-7266;Fax (785) 842-3871;Tracey Simons,Mr. Martin Baumgard
Pest control services;2010;http://www.schendelpest.com;Schendel Pest Services;Mr. John Price;2416 S. Ponderosa,Lawrence, KS  66046;(785) 691-8407;Fax (785) 843-4766;Mr. John Price
Convention services;2012;http://www.pbpgaming.com;Prairie Band Casino & Resort;Ms. Chele Kuhn,Mr. Steve Ortiz,Ms. Sheryl Blue;12305 150 Rd.,Mayetta, KS  66509;(785) 966-7777;Fax (785) 966-7799;Ms. Chele Kuhn,Mr. Steve Ortiz,Ms. Sheryl Blue
Engineering consultants;2010;http://www.austintec.com;Austin Nichols;Mr. Terry Demmon;2405 Grand,Kansas City, MO  64108;(816) 471-5575;Fax (816) 471-6690;Mr. Terry Demmon
Engineering consultants;2012;http://www.cfse.com;Cook, Flatt & Strobel Engineers, P.A.;Mr. Aaron J. Gaspers,Mr. Jared Mohrman;850 E. 13th St., Ste. B,Lawrence, KS  66044;(785) 856-9600;Mr. Aaron J. Gaspers,Mr. Jared Mohrman
Engineering consultants;2011;http://www.darcorp.com;DARcorporation;Ms. MaryJo Anemaat,Dr. Willem A. J. Anemaat;1440 Wakarusa Dr., Ste. 500,Lawrence, KS  66049;(785) 832-0434;Fax (785) 832-0524;Ms. MaryJo Anemaat,Dr. Willem A. J. Anemaat
Engineering consultants;2000;http://www.gpwassociates.com;GPW & Associates, L.L.C.;Ms. Gina Pacumbaba-Watson;1001 New Hampshire St.,Lawrence, KS  66044;(785) 865-2332;Fax (785) 865-2333;Ms. Gina Pacumbaba-Watson
Engineering consultants;2003;http://www.h-be.com;Hoss & Brown Engineers, Inc.;Ms. Laura Blanchard,Peter C. Laughlin,Ms. Michelle Myers;4910 Corporate Centre Dr., Ste. 177,Lawrence, KS  66047;(785) 832-1105;Fax (785) 832-1236;Ms. Laura Blanchard,Peter C. Laughlin,Ms. Michelle Myers
Caterers;2008;http://www.bumsteercatering.com;Bum Steer Catering;Mr. Chris Lemmon;1910 Haskell Ave. #7,Lawrence, KS  66046;(785) 841-7665;Mr. Chris Lemmon
Caterers;2004;http://www.coldstone.com;Cold Stone Creamery/Rocky Mountain Chocolate Factory;Mrs. Maha Emerly,Mr. Allan Emerly;647 Massachusetts St., Ste. 101B,Lawrence, KS  66044;(785) 843-0990;Mrs. Maha Emerly,Mr. Allan Emerly
Caterers;2013;http://www.southerndlux.com;D-LUX Southern Fried Chicken;Mr. Matthew DelVecehio;3300 W. 6th St.,Lawrence, KS  66049;(785) 766-4140;Mr. Matthew DelVecehio
Caterers;2009;http://www.eldridgehotel.com;The Eldridge Extended;Mr. David Longhurst;201 W. 8th St.,Lawrence, KS  66044;(785) 749-5011;Fax (785) 749-4512;Mr. David Longhurst
Caterers;2004;http://www.eldridgehotel.com;The Eldridge;Ms. Nancy Longhurst,Ms. Courtney Longino,Mr. Pam Altic Van Roekel,Mr. David Longhurst;701 Massachusetts St.,Lawrence, KS  66044;(785) 749-5011;Fax (785) 749-4512;Ms. Nancy Longhurst,Ms. Courtney Longino,Mr. Pam Altic Van Roekel,Mr. David Longhurst
Caterers;2011;http://www.famousdaves.com;Famous Dave's BBQ Restaurant;Mr. Jay Grate,Ms. Kim Grate,Mr. Sam Ahring,Ms. Staci Hooks;4931 W. 6th St., Ste. 130,Lawrence, KS  66049;(785) 830-8409;Fax (785) 830-8418;Mr. Jay Grate,Ms. Kim Grate,Mr. Sam Ahring,Ms. Staci Hooks
Caterers;2014;http://www.hotboxcookies.com;Hot Box Cookies;Zac McIntyre,Ms. Cori Viola;732 Massachusetts St.,Lawrence, KS  66044;(785) 856-8778;Zac McIntyre,Ms. Cori Viola
Caterers;1993;http://www.hy-vee.com;Hy-Vee Food & Drug Store;Mrs. Lori Howell,Ms. Tera Jo Brown,Mr. Curtis Strum;3504 Clinton Pkwy.,Lawrence, KS  66047;(785) 832-0044;Fax (785) 832-0612;Mrs. Lori Howell,Ms. Tera Jo Brown,Mr. Curtis Strum
Caterers;2001;http://www.macelis.com;Maceli's;Mr. Stephen Maceli,Ms. Lara Komosa;1031 New Hampshire St.,Lawrence, KS  66044;(785) 331-2096;Fax (785) 856-0320;Mr. Stephen Maceli,Ms. Lara Komosa
Caterers;2012;http://www.mexicanrestaurantlawrencekansas.com;Mexquisito;Mr. Angel Alvarez,Ms. Laura Romero;712 Massachusetts St.,Lawrence, KS  66044;(785) 865-1515;Fax (785) 865-1515;Mr. Angel Alvarez,Ms. Laura Romero
Caterers;2010;http://www.mrgoodcents.com;Mr. Goodcents Subs & Pastas;Mr. Dean Drennan;1410 Kasold Dr., Ste. A22,Lawrence, KS  66049;(785) 841-8444;Fax (785) 842-3592;Mr. Dean Drennan
Caterers;2013;http://www.ontheborder.com;On The Border;Ms. Ashley Zahn,Mr. Collin Vorbeck,Ms. Megan Gialde;3080 Iowa St.,Lawrence, KS  66046;(785) 371-4075;Ms. Ashley Zahn,Mr. Collin Vorbeck,Ms. Megan Gialde
Caterers;2009;http://theoread.com;The Oread;Ms. Nancy Longhurst,Mr. Pam Altic Van Roekel,Ms. Heidi Windholz,Ms. Katie Young;1200 Oread Ave.,Lawrence, KS  66044;(785) 830-3933;Ms. Nancy Longhurst,Mr. Pam Altic Van Roekel,Ms. Heidi Windholz,Ms. Katie Young
Caterers;2003;http://www.paisanoskansas.com;Paisano's Ristorante of Lawrence;Mr. Steve Butland,Debbie Butland;Holiday Plaza,2112 W. 25th St.,Lawrence, KS  66047;(785) 838-3500;Fax (785) 838-4578;Mr. Steve Butland,Debbie Butland
Caterers;2012;;;Mr. Brandon Graham;1035 Massachusetts St.,Lawrence, KS  66044;(785) 841-7272;Mr. Brandon Graham
Caterers;2013;http://www.papamurphys.com;Papa Murphy's - West;Mr. Chad Knochenmus,Mr. Steve Alley;650 Congressional Dr.,Lawrence, KS  66049;(785) 843-7272;Fax (785) 843-2882;Mr. Chad Knochenmus,Mr. Steve Alley
Caterers;2011;http://www.picklemans.com;Pickleman's Gourmet Cafe;Mr. Mike Terril;818 Massachusetts St.,Lawrence, KS  66044;(785) 856-6700;Mr. Mike Terril
Caterers;2012;http://www.sandbarsubs.com;Sandbar Subs;Mr. Scott Zaremba,Ms. Rita Madl;1500 E. 23rd St.,Lawrence, KS  66046;(785) 856-7676;Mr. Scott Zaremba,Ms. Rita Madl
Caterers;2011;http://www.mexicanrestaurantlawrencekansas.com;Tortas Jalisco;Mr. Angel Alvarez,Ms. Laura Romero;534 Frontier Rd.,Lawrence, KS  66049;(785) 865-1515;Mr. Angel Alvarez,Ms. Laura Romero
Nursing homes;1999;http://www.pioneer-ridge.com;Pioneer Ridge Retirement Community;Mrs. Debbie Walker,Mr. Steven Cardwell;4851 Harvard Rd.,Lawrence, KS  66049;(785) 749-2000;Fax (785) 344-1199;Mrs. Debbie Walker,Mr. Steven Cardwell
Telecommunication services;1975;http://www.att.com;AT&T;Mr. Mike Scott;220 S.E. 6th St., Rm. 500,Topeka, KS  66603;(785) 749-7106;Fax (785) 276-1713;Mr. Mike Scott
Telecommunication services;2010;http://www.calltcs.com;TCS Towner Communication Systems;Mr. Gary Monroe;6950 Squibb Rd., Ste. 420,Mission, KS  66202;(913) 780-3166;Fax (913) 780-4272;Mr. Gary Monroe
Telecommunication services;2011;http://www.wowway.com;WOW! Internet, Cable and Phone;Ms. Misty Jensen,Ms. Barb Wells,Mr. Lance Mullen,Chris Schmid,Mr. David Hartzler,Ms. Amanda Emery,Mr. Ann Niccum,Ms. Debra Schmidt,Mr. Russ Bush,Mr. Scott Keeler;1 Riverfront Plaza, Ste. 301,Lawrence, KS  66044;(785) 841-2100;Fax (785) 312-6940;Ms. Misty Jensen,Ms. Barb Wells,Mr. Lance Mullen,Chris Schmid,Mr. David Hartzler,Ms. Amanda Emery,Mr. Ann Niccum,Ms. Debra Schmidt,Mr. Russ Bush,Mr. Scott Keeler
Bowling lanes & supplies;1970;http://www.jayhawkbowling.com;Jayhawk Bowling Supply;Mr. John Hardman;355 N. Iowa St.,P.O. Box 685,Lawrence, KS  66044;(785) 842-3237;Fax (785) 842-9667;Mr. John Hardman
Signs;2010;http://www.lawrencesignup.co;Lawrence Sign Up, LLC;Mr. Ben Koehn;725 N. 2nd St.,Lawrence, KS  66044;(785) 856-7444;Fax (785) 856-7447;Mr. Ben Koehn
Signs;1973;http://www.luminousneon.com;Luminous Neon Art & Sign Systems;Ms. Tammy Moody;615 Vermont St.,Lawrence, KS  66044;(785) 842-4930;Fax (785) 842-6097;Ms. Tammy Moody
Signs;2008;http://www.schurlesigns.com;Schurle Signs, Inc.;Mr. Ryan Schurle;1837 E. 1450 Rd.,P. O. Box 514,Lawrence, KS  66044;(785) 832-9897;Fax (785) 842-1772;Mr. Ryan Schurle
Advertising Agencies;1999;http://www.callahancreek.com;Callahan Creek, Inc.;Ms. Cindy Maude,Chris Marshall,Ms. Emily Peterson;805 New Hampshire St.,Lawrence, KS  66044;(785) 838-4774;Fax (785) 838-4033;Ms. Cindy Maude,Chris Marshall,Ms. Emily Peterson
Advertising Agencies;2014;http://www.justbecandid.com;Candid Marketing & Communications;Ms. Becky Freetly-Graber,Ms. Sara Freetly-Grubb;400 SW Longview Blvd., Ste. 200,Lee's Summit, MO  64081;(816) 765-3608;Ms. Becky Freetly-Graber,Ms. Sara Freetly-Grubb
Advertising Agencies;2013;http://www.designbrilliancemarketing.com;Design Brilliance Creative Marketing;Ms. Daryl Bugner;810 Pennsylvania St., Ste. 228,Lawrence, KS  66044;(785) 840-8103;Ms. Daryl Bugner
Advertising Agencies;2007;http://www.kerngroupinc.com;Kern Group, Inc.;Mr. Mark Kern,Mrs. Ann Hertzog;740 New Hampshire, Ste. 110,Lawrence, KS  66044;(785) 856-1990;Fax (785) 856-1995;Mr. Mark Kern,Mrs. Ann Hertzog
Advertising Agencies;2006;http://www.millermeiers.com;Miller Meiers Communication Arts Boutique;Bob Meiers,Jana Dawson,Ms. Lynn Hoelting;916 1/2 Massachusetts Street,Lawrence, KS  66044;(785) 856-6622;Bob Meiers,Jana Dawson,Ms. Lynn Hoelting
Advertising Agencies;2013;http://www.nms3.com;|NMS3 || A Creative Agency|;Ms. Kim Millsap,Mr. Kris Millsap;123 W. 8th St., Ste. 302,Lawrence, KS  66044;(785) 856-6673;Ms. Kim Millsap,Mr. Kris Millsap
Consultants Non Profit agencies;2012;http://www.roundtablelawrence.webplus.net;Round Table Lawrence;Ms. Gwen Klingenberg;4900 Colonial Way,Lawrence, KS  66049;(785) 393-4845;Ms. Gwen Klingenberg
Consultants Non Profit agencies;2009;http://www.tenants-to-homeowners.org;Tenants to Homeowners;Ms. Rebecca Buford;2518 Ridge Ct., Ste. 103,Lawrence, KS  66046;(785) 842-5494;Fax (785) 842-7570;Ms. Rebecca Buford
Carpet & floor covering;1974;http://www.kringsinteriors.com;Kring's Interiors Inc.;Mr. Brit Kring;634 Massachusetts St.,Lawrence, KS  66044;(785) 842-3470;Fax (785) 842-5491;Mr. Brit Kring
Carpet & floor covering;2013;http://www.ncricat.com;NCRI - National Catastrophe Restoration, Inc.;Ms. Natalie Samb;8065 Flint St.,Lenexa, KS  66214;(913) 663-4111;Fax (913) 663-4433;Ms. Natalie Samb
Carpet & floor covering;2003;http://www.paradisefloors.com;Paradise Carpet One;Mr. Jeff Wyatt;2108 W. 27th St., Ste. E,Lawrence, KS  66047;(785) 856-8011;Fax (785) 856-8013;Mr. Jeff Wyatt
Non Profit;2010;;;Ms. Crystal Swearingen;1501 Kasold Dr.,Lawrence, KS  66047;(785) 691-8986;Fax (785) 843-2466;Ms. Crystal Swearingen
Non Profit;1985;http://www.redcross.org;American Red Cross;Ms. Jane Blocher;2518 Ridge Ct., Ste. 205,Lawrence, KS  66046;(785) 843-3550;Fax (785) 843-0328;Ms. Jane Blocher
Non Profit;2010;http://www.kansasplains.bbb.org;Better Business Bureau of Kansas, Inc.;Ms. Denise Groene;345 North Riverview, Ste. 720,Wichita, KS  67203;(316) 263-3542;Fax (316) 263-3063;Ms. Denise Groene
Non Profit;1993;http://douglas.kansasbigs.org;Big Brothers Big Sisters of Douglas Co.;Ms. Stacie Salverson-Schroeder;2518 Ridge Ct., Rm. 253,Lawrence, KS  66046;(785) 843-7359;Fax (785) 843-3728;Ms. Stacie Salverson-Schroeder
Non Profit;2008;http://www.capfed.com;Capitol Federal Foundation;Ms. Tammy Dishman;700 Kansas Ave., Ste. 517,Topeka, KS  66603;(785) 270-6040;Fax (785) 270-6046;Ms. Tammy Dishman
Non Profit;2014;http://www.catholiccharitiesks.org;Catholic Charities of Northeast Kansas;Nickie Daneke LMSW,Ms. Kim Carlson;1247 Kentucky St.,Lawrence, KS  66044;(785) 856-2694;Fax (785) 749-5064;Nickie Daneke LMSW,Ms. Kim Carlson
Non Profit;2010;http://www.ercrefer.org;Child Care Aware of Eastern Kansas;Ms. Reva Wywadis,Ms. Marie Treichel;2706 Iowa St., Ste. C,Lawrence, KS  66046;(785) 865-0669;Fax (785) 357-1813;Ms. Reva Wywadis,Ms. Marie Treichel
Non Profit;2011;http://www.ciskansas.org;Communities In Schools of Kansas;Ms. Malissa Martin;2721 W. 6th St., Ste. E,Lawrence, KS  66049;(785) 856-5190;Fax (785) 856-5191;Ms. Malissa Martin
Non Profit;1992;http://lgd@cbckc.org;Community Blood Center;Ms. Maureen O'Sullivan,Ms. Leann DeLong,Ms. Lou Ann Godfrey;800 S.W. Lane,Topeka, KS  66606;(785) 233-0195;Fax (785) 233-5953;Ms. Maureen O'Sullivan,Ms. Leann DeLong,Ms. Lou Ann Godfrey
Non Profit;2013;http://www.douglascountyaidsproject.org;Douglas County AIDS Project;Trenton Garber;Medical Arts Building,346 Maine St., Ste. 160,Lawrence, KS  66044;(785) 843-0040;Trenton Garber
Non Profit;2011;http://www.dccasa.org;Douglas County Casa, Inc.;Ms. Diana S. Frederick;1009 New Hampshire St., Ste. B,Lawrence, KS  66044;(785) 832-5172;Fax (785) 856-1279;Ms. Diana S. Frederick
Non Profit;2001;http://www.dccfoundation.org;Douglas County Community Foundation;Mr. Charles Blaser;900 Massachusetts St., Ste. 406,Lawrence, KS  66044;(785) 843-8727;Fax (785) 843-8735;Mr. Charles Blaser
Non Profit;2010;http://www.dcdclinic.org;Douglas County Dental Clinic;Ms. Julie Branstrom,Ms. Cheryl Biesterfeld DDS;2210 Yale Rd.,Lawrence, KS  66049;(785) 312-7770;Fax (785) 312-9447;Ms. Julie Branstrom,Ms. Cheryl Biesterfeld DDS
Non Profit;2010;;;Ms. Lillie Okwuone;2518 Ridge Ct., Ste. 104,Lawrence, KS  66046;(785) 841-3357;Fax (785) 856-0671;Ms. Lillie Okwuone
Non Profit;2004;http://www.lawrencefop.org;Fraternal Order of Police, Lawrence Lodge #2;Mr. David Reavis;768 E. 661 Diagonal Rd.,P.O. Box 272,Lawrence, KS  66044;(785) 748-9835;Mr. David Reavis
Non Profit;2014;http://headquarterscounselingcenter.org;Headquarters Counseling Center, Inc.;Ms. Beth Pine,Mr. Steve Lopes;211 E. Eighth St.,Lawrence, KS  66044;(785) 841-9900;Ms. Beth Pine,Mr. Steve Lopes
Non Profit;2013;http://www.heartlandhealth.org;Heartland Community Health Center;Jon Stewart,Mr. Daniel Purdom M.D.;1 Riverfront Plaza, Ste. 100,Lawrence, KS  66044;(785) 841-7297;Fax (785) 856-0375;Jon Stewart,Mr. Daniel Purdom M.D.
